1BCF,A18-25;A47-54;A92-99;A123-130,A19-25;A47-50;A52-53;A92-93;A95-99;A123-126;A128-129,125,8-15;A92-99;16-30;A123-130;16-30;A47-54;16-30;A18-25;8-15
5TPN,A163-181,A163-168;A170-171;A179,75,10-40;A163-181;10-40
5IUS,A119-140;A63-82,A63;A65;A67;A69;A71-72;A76;A79-80;A82;A119-123;A125;A127;A129-130;A133;A135;A137-138;A140,100,0-30;A119-140;15-40;A63-82;0-30
3IXT,P254-277,P255;P258-259;P262-263;P268;P271-272;P275-276,75,10-40;P254-277;10-40
5YUI,A93-97;A118-120;A198-200,A93;A95;A97;A118;A120,75,5-30;A93-97;5-20;A118-120;10-35;A198-200;10-30
1YCR,B19-27,B20-22;B24-25,75,10-40;B19-27;10-40
2KL8,A1-7;A28-79,,100,0-20;A1-7;20;A28-79;0-20
7MRX,B25-46,B25-46,75,0-63;B25-46;0-63
4JHW,F63-69;F196-212,F63;F69;F196;F198;F203;F211-212,125,10-25;F196-212;40-80;F63-69;10-25
4ZYP,A422-436,A422-427;A430-431;A433-43,75,10-40;A422-436;10-40
5WN9,A170-189,A170-175;A188-189,75,10-40;A170-189;10-40
5TRV,A45-65,A45-65,75,0-65;A45-65;0-65
6E6R,A23-35,A23-35,75,0-65;A23-35;0-65 
6EXZ,A556-570,A556-570,100,0-65;A28-42;0-65
7A8S,A41-55;A72-86,,100,0-60;A41-55;30-60;A72-86;0-60
7AD5,A99-113,,125,0-100;A99-113;0-100 
7AHO,A199-213,,125,0-100;A199-213;0-100
7BNY,A83-97;A111-125,,125,0-60;A83-97;30-60;A111-125;0-60
7DGW,A22-36;A70-84,,125,0-60;A70-84;30-60;A22-36;0-60
7KUW,A2-16;A30-44,,125,0-60;A30-44;30-60;A2-16;0-60 
7KWW,B14-28,,125,0-100;B14-28;0-100
7MQQ,A80-94;A115-129,,125,0-60;A115-129;30-60;A80-94;0-60
7S5L,A27-41;A77-91,,125,0-60;A27-41;30-60;A77-91;0-60
7WRK,A80-94,,125,0-100;A80-94;0-100
6CPA,A69-72;A127;A196;A248;A270,A70-71,200,0-20;A69-72;30-55;A127;50-70;A196;40-55;A248;20-25;A270;0-20
1MPY,A153;A199;A214;A246;A255;A265,,125,0-20;A153;40-50;A199;10-15;A214;25-30;A246;5-15;A255;5-15;A265;0-20
1B73,A7-8;A70;A178-180,A179,125,0-25;A7-8;20-50;A70;20-75;A178-180;0-25
2RKX,A9-11;A48-50;A101;A128;A169;A176;A201;A222-224,A10;A49;A223,225,0-20;A9-11;30-40;A48-50;45-55;A101;20-30;A128;35-45;A169;5-15;A176;20-30;A201;15-25;A222-224;0-20
3B5V,A51-53;A81;A110;A131;A159;A180-184;A210-211;A231-233,A52;A181;A183;A232,200,0-30;A51-53;25-35;A81;25-35;A110;15-25;A131;25-35;A159;15-25;A180-184;20-30;A210-211;15-25;A231-233;0-30
4XOJ,A55;A99;A190-192,A191,150,0-50;A55;40-50;A99;50-80;A190-192;0-50
1qy3,A58-71;A96;A222,A58-61;A63-64;A68-71,225,0-65;A58-71;20-30;A96;120-130;A222;0-65
1ldb,A186-206,,125,0-100;A186-206;0-100
1itu,A124-147,,150,0-100;A124-147;0-100
1yov,B213-223,,75,0-60;B213-223;0-60
1a41,A248-280,,100,0-70;A248-280;0-70
1lcc,A1-52,,150,0-100;A1-52;0-100
5ze9,A229-243,,100,0-90;A229-243;0-90
7uwl,E63-73;E101-111,E104,175,0-80;E63-73;25-35;E101-111;0-80
7uwl,E63-73;E101-111;E132-142;E165-174,E104,175,0-80;E63-73;25-35;E101-111;15-25;E132-142;20-30;E165-174;0-80
6E6R,A23-35,A23-35,200,0-200;A23-35;0-200
6EXZ,A556-570,A556-570,200,0-200;A556-570;0-200
