00_1BCF,A18-25;A47-54;A92-99;A123-130,A19-25;A47-50;A52-53;A92-93;A95-99;A123-126;A128-129,125,8-15;C1-8;16-30;D1-8;16-30;B1-8;16-30;A1-8;8-15
01_5TPN,A163-181,A163-168;A170-171;A179,75,10-40;A1-19;10-40
02_5IUS,A63-82;A119-140,A63;A65;A67;A69;A71-72;A76;A79-80;A82;A119-123;A125;A127;A129-130;A133;A135;A137-138;A140,100,0-30;B1-22;15-40;A1-20;0-30
03_3IXT,P254-277,P255;P258-259;P262-263;P268;P271-272;P275-276,75,10-40;A1-24;10-40
04_5YUI,A93-97;A118-120;A198-200,A93;A95;A97;A118;A120,75,5-30;A1-5;5-20;B1-3;10-35;C1-3;10-30
05_1YCR,B19-27,B20-22;B24-25,75,10-40;A1-9;10-40
06_2KL8,A1-7;A28-79,,100,0-20;A1-7;20;B1-52;0-20
07_7MRX,B25-46,B25-46,75,0-63;A1-22;0-63
08_4JHW,F63-69;F196-212,F63;F69;F196;F198;F203;F211-212,125,10-25;B1-17;40-80;A1-7;10-25
09_4ZYP,A422-436,A422-427;A430-431;A433-43,75,10-40;A1-15;10-40
10_5WN9,A170-189,A170-175;A188-189,75,10-40;A1-20;10-40
11_5TRV,A45-65,A45-65,75,0-65;A1-21;0-65
12_6E6R,A23-35,A23-35,75,0-65;A1-13;0-65
13_6EXZ,A556-570,A556-570,100,0-65;A1-15;0-65
14_7A8S,A41-55;A72-86,,100,0-60;A1-15;30-60;B1-15;0-60
15_7AD5,A99-113,,125,0-100;A1-15;0-100
16_7AHO,A199-213,,125,0-100;A1-15;0-100
17_7BNY,A83-97;A111-125,,125,0-60;A1-15;30-60;B1-15;0-60
18_7DGW,A22-36;A70-84,,125,0-60;B1-15;30-60;A1-15;0-60
19_7KUW,A2-16;A30-44,,125,0-60;B1-15;30-60;A1-15;0-60
20_7KWW,B14-28,,125,0-100;A1-15;0-100
21_7MQQ,A80-94;A115-129,,125,0-60;B1-15;30-60;A1-15;0-60
22_7S5L,A27-41;A77-91,,125,0-60;A1-15;30-60;B1-15;0-60
23_7WRK,A80-94,,125,0-100;A1-15;0-100
24_6CPA,A69-72;A127;A196;A248;A270,A70-71,200,0-20;A1-4;30-55;B1-1;50-70;C1-1;40-55;D1-1;20-25;E1-1;0-20
25_1MPY,A153;A199;A214;A246;A255;A265,,125,0-20;A1-1;40-50;B1-1;10-15;C1-1;25-30;D1-1;5-15;E1-1;5-15;F1-1;0-20
26_1B73,A7-8;A70;A178-180,A179,125,0-25;A1-2;20-50;B1-1;20-75;C1-3;0-25
27_2RKX,A9-11;A48-50;A101;A128;A169;A176;A201;A222-224,A10;A49;A223,225,0-20;A1-3;30-40;B1-3;45-55;C1-1;20-30;D1-1;35-45;E1-1;5-15;F1-1;20-30;G1-1;15-25;H1-3;0-20
28_3B5V,A51-53;A81;A110;A131;A159;A180-184;A210-211;A231-233,A52;A181;A183;A232,200,0-30;A1-3;25-35;B1-1;25-35;C1-1;15-25;D1-1;25-35;E1-1;15-25;F1-5;20-30;G1-2;15-25;H1-3;0-30
29_4XOJ,A55;A99;A190-192,A191,150,0-50;A1-1;40-50;B1-1;50-80;C1-3;0-50
30_1qy3,A58-71;A96;A222,A58-61;A63-64;A68-71,225,0-65;A1-14;20-30;B1-1;120-130;C1-1;0-65
31_1ldb,A186-206,,125,0-100;A1-21;0-100
32_1itu,A124-147,,150,0-100;A1-24;0-100
33_1yov,B213-223,,75,0-60;A1-11;0-60
34_1a41,A248-280,,100,0-70;A1-33;0-70
35_1lcc,A1-51,,150,0-100;A1-51;0-100
36_5ze9,A229-243,,100,0-90;A1-15;0-90
37_7uwl,E63-73;E101-111,E104,175,0-80;A1-11;25-35;B1-11;0-80
38_7uwl,E63-73;E101-111;E132-142;E165-174,E104,175,0-80;A1-11;25-35;B1-11;15-25;C1-11;20-30;D1-10;0-80
39_6E6R,A23-35,A23-35,200,0-200;A1-13;0-200
40_6EXZ,A556-570,A556-570,200,0-200;A1-15;0-200
