problem,length,contig
01_1LDB,125,0-100;A1-21;0-100
02_1ITU,150,0-100;A1-24;0-100
03_5WN9,75,10-40;A1-20;10-40
04_6E6R,75,0-65;A1-13;0-65
05_6E6R,200,0-190;A1-13;0-190
06_7AD5,125,0-100;A1-15;0-100
07_7AHO,125,0-100;A1-15;0-100
08_7WRK,125,0-100;A1-15;0-100
09_2KL8,100,0-20;A1-7;20;B1-52;0-20
10_4JHW,125,10-25;B1-17;40-80;A1-7;10-25
11_5IUS,100,0-30;B1-22;15-40;A1-20;0-30
12_7A8S,100,0-60;A1-15;30-60;B1-15;0-60
13_7BNY,125,0-60;A1-15;30-60;B1-15;0-60
14_7DGW,125,0-60;B1-15;30-60;A1-15;0-60
15_7MQQ,125,0-60;B1-15;30-60;A1-15;0-60
16_1B73,125,0-25;A1-2;20-50;B1-1;20-75;C1-3;0-25
17_1BCF,125,8-15;C1-8;16-30;D1-8;16-30;B1-8;16-30;A1-8;8-15
18_1MPY,125,0-20;A1-1;40-50;B1-1;10-15;C1-1;25-30;D1-1;5-15;E1-1;5-15;F1-1;0-20
19_1QY3,225,0-65;A1-14;20-30;B1-1;120-130;C1-1;0-65
20_2RKX,225,0-20;A1-3;30-40;B1-3;45-55;C1-1;20-30;D1-1;35-45;E1-1;5-15;F1-1;20-30;G1-1;15-25;H1-3;0-20
21_3B5V,200,0-30;A1-3;25-35;B1-1;25-35;C1-1;15-25;D1-1;25-35;E1-1;15-25;F1-5;20-30;G1-2;15-25;H1-3;0-30
22_4XOJ,150,0-50;A1-1;40-50;B1-1;50-80;C1-3;0-50
23_5YUI,75,5-30;A1-5;5-20;B1-3;10-35;C1-3;10-30
24_6CPA,200,0-20;A1-4;30-55;B1-1;50-70;C1-1;40-55;D1-1;20-25;E1-1;0-20
25_7UWL,175,0-80;A1-11;25-35;B1-11;15-25;C1-11;20-30;D1-10;0-80
