20_7KWW_15.pdb	20_7KWW_15.pdb
20_7KWW_18.pdb	20_7KWW_18.pdb
20_7KWW_18.pdb	20_7KWW_27.pdb
20_7KWW_18.pdb	20_7KWW_29.pdb
20_7KWW_18.pdb	20_7KWW_58.pdb
20_7KWW_18.pdb	20_7KWW_68.pdb
20_7KWW_18.pdb	20_7KWW_90.pdb
20_7KWW_25.pdb	20_7KWW_25.pdb
20_7KWW_5.pdb	20_7KWW_5.pdb
20_7KWW_50.pdb	20_7KWW_50.pdb
20_7KWW_50.pdb	20_7KWW_41.pdb
20_7KWW_53.pdb	20_7KWW_53.pdb
20_7KWW_53.pdb	20_7KWW_9.pdb
20_7KWW_53.pdb	20_7KWW_32.pdb
20_7KWW_66.pdb	20_7KWW_66.pdb
20_7KWW_70.pdb	20_7KWW_70.pdb
20_7KWW_70.pdb	20_7KWW_43.pdb
20_7KWW_70.pdb	20_7KWW_95.pdb
20_7KWW_75.pdb	20_7KWW_75.pdb
20_7KWW_77.pdb	20_7KWW_77.pdb
20_7KWW_77.pdb	20_7KWW_36.pdb
20_7KWW_77.pdb	20_7KWW_47.pdb
20_7KWW_77.pdb	20_7KWW_56.pdb
20_7KWW_77.pdb	20_7KWW_49.pdb
20_7KWW_77.pdb	20_7KWW_14.pdb
20_7KWW_77.pdb	20_7KWW_67.pdb
20_7KWW_77.pdb	20_7KWW_31.pdb
20_7KWW_77.pdb	20_7KWW_57.pdb
20_7KWW_77.pdb	20_7KWW_69.pdb
20_7KWW_77.pdb	20_7KWW_55.pdb
20_7KWW_77.pdb	20_7KWW_62.pdb
20_7KWW_77.pdb	20_7KWW_4.pdb
20_7KWW_77.pdb	20_7KWW_97.pdb
20_7KWW_77.pdb	20_7KWW_72.pdb
20_7KWW_82.pdb	20_7KWW_82.pdb
20_7KWW_86.pdb	20_7KWW_86.pdb
20_7KWW_86.pdb	20_7KWW_21.pdb
20_7KWW_86.pdb	20_7KWW_52.pdb
20_7KWW_86.pdb	20_7KWW_76.pdb
20_7KWW_86.pdb	20_7KWW_98.pdb
20_7KWW_86.pdb	20_7KWW_79.pdb
20_7KWW_88.pdb	20_7KWW_88.pdb
20_7KWW_93.pdb	20_7KWW_93.pdb
20_7KWW_96.pdb	20_7KWW_96.pdb
20_7KWW_99.pdb	20_7KWW_99.pdb
