Path,Protein,Designability_Fraction,Diversity,Novelty_Score
,00_1BCF,96.87,0.01,0.17
,01_5TPN,56.57,0.05,0.39
,02_5IUS,26.00,0.04,0.28
,03_3IXT,93.00,0.04,0.28
,04_5YUI,7.00,0.29,0.36
,05_1YCR,100.00,0.05,0.22
,06_2KL8,88.00,0.01,0.05
,07_7MRX,35.05,0.21,0.37
,08_4JHW,0.00,0.00,0.00
,09_4ZYP,90.00,0.10,0.31
,10_5WN9,6.00,0.83,0.31
,11_5TRV,52.53,0.27,0.31
,12_6E6R,78.79,0.33,0.30
,13_6EXZ,100.00,0.09,0.30
,14_7A8S,11.00,0.09,0.40
,15_7AD5,0.00,0.00,0.00
,16_7AHO,13.00,0.46,0.39
,17_7BNY,8.00,0.12,0.44
,18_7DGW,47.00,0.04,0.24
,19_7KUW,34.00,0.12,0.24
,20_7KWW,45.00,0.36,0.39
,21_7MQQ,7.00,0.29,0.41
,22_7S5L,66.00,0.04,0.29
,23_7WRK,0.00,0.00,0.00
,24_6CPA,0.00,0.00,0.00
,25_1MPY,0.00,0.00,0.00
,26_1B73,0.00,0.00,0.00
,27_2RKX,0.00,0.00,0.00
,28_3B5V,0.00,0.00,0.00
,29_4XOJ,0.00,0.00,0.00
,30_1qy3,0.00,0.00,0.00
,31_1ldb,3.00,0.33,0.32
,32_1itu,4.00,0.50,0.33
,33_1yov,20.00,0.60,0.33
,34_1a41,94.00,0.01,0.32
,35_1lcc,0.00,0.00,0.00
,36_5ze9,32.00,0.34,0.36
,37_7uwl,0.00,0.00,0.00
,38_7uwl,0.00,0.00,0.00
,39_6E6R,81.00,0.94,0.40
,40_6EXZ,96.00,0.65,0.38
