assist_protein.pdb	assist_protein.pdb
05_1YCR_23.pdb	05_1YCR_23.pdb
05_1YCR_47.pdb	05_1YCR_47.pdb
05_1YCR_47.pdb	05_1YCR_62.pdb
05_1YCR_47.pdb	05_1YCR_8.pdb
05_1YCR_47.pdb	05_1YCR_65.pdb
05_1YCR_47.pdb	05_1YCR_46.pdb
05_1YCR_53.pdb	05_1YCR_53.pdb
05_1YCR_53.pdb	05_1YCR_10.pdb
05_1YCR_53.pdb	05_1YCR_90.pdb
05_1YCR_53.pdb	05_1YCR_31.pdb
05_1YCR_89.pdb	05_1YCR_89.pdb
05_1YCR_89.pdb	05_1YCR_71.pdb
05_1YCR_89.pdb	05_1YCR_14.pdb
05_1YCR_89.pdb	05_1YCR_93.pdb
05_1YCR_89.pdb	05_1YCR_2.pdb
05_1YCR_89.pdb	05_1YCR_57.pdb
05_1YCR_89.pdb	05_1YCR_72.pdb
05_1YCR_89.pdb	05_1YCR_7.pdb
05_1YCR_89.pdb	05_1YCR_83.pdb
05_1YCR_89.pdb	05_1YCR_84.pdb
05_1YCR_91.pdb	05_1YCR_91.pdb
05_1YCR_91.pdb	05_1YCR_1.pdb
05_1YCR_91.pdb	05_1YCR_11.pdb
05_1YCR_91.pdb	05_1YCR_20.pdb
05_1YCR_91.pdb	05_1YCR_21.pdb
05_1YCR_91.pdb	05_1YCR_22.pdb
05_1YCR_91.pdb	05_1YCR_32.pdb
05_1YCR_91.pdb	05_1YCR_33.pdb
05_1YCR_91.pdb	05_1YCR_35.pdb
05_1YCR_91.pdb	05_1YCR_38.pdb
05_1YCR_91.pdb	05_1YCR_39.pdb
05_1YCR_91.pdb	05_1YCR_40.pdb
05_1YCR_91.pdb	05_1YCR_44.pdb
05_1YCR_91.pdb	05_1YCR_45.pdb
05_1YCR_91.pdb	05_1YCR_48.pdb
05_1YCR_91.pdb	05_1YCR_49.pdb
05_1YCR_91.pdb	05_1YCR_51.pdb
05_1YCR_91.pdb	05_1YCR_52.pdb
05_1YCR_91.pdb	05_1YCR_60.pdb
05_1YCR_91.pdb	05_1YCR_61.pdb
05_1YCR_91.pdb	05_1YCR_63.pdb
05_1YCR_91.pdb	05_1YCR_69.pdb
05_1YCR_91.pdb	05_1YCR_70.pdb
05_1YCR_91.pdb	05_1YCR_74.pdb
05_1YCR_91.pdb	05_1YCR_92.pdb
05_1YCR_91.pdb	05_1YCR_13.pdb
05_1YCR_91.pdb	05_1YCR_15.pdb
05_1YCR_91.pdb	05_1YCR_16.pdb
05_1YCR_91.pdb	05_1YCR_17.pdb
05_1YCR_91.pdb	05_1YCR_19.pdb
05_1YCR_91.pdb	05_1YCR_24.pdb
05_1YCR_91.pdb	05_1YCR_27.pdb
05_1YCR_91.pdb	05_1YCR_34.pdb
05_1YCR_91.pdb	05_1YCR_56.pdb
05_1YCR_91.pdb	05_1YCR_82.pdb
05_1YCR_91.pdb	05_1YCR_97.pdb
05_1YCR_91.pdb	05_1YCR_18.pdb
05_1YCR_91.pdb	05_1YCR_29.pdb
05_1YCR_91.pdb	05_1YCR_3.pdb
05_1YCR_91.pdb	05_1YCR_30.pdb
05_1YCR_91.pdb	05_1YCR_37.pdb
05_1YCR_91.pdb	05_1YCR_59.pdb
05_1YCR_91.pdb	05_1YCR_64.pdb
05_1YCR_91.pdb	05_1YCR_98.pdb
05_1YCR_91.pdb	05_1YCR_26.pdb
05_1YCR_91.pdb	05_1YCR_36.pdb
05_1YCR_91.pdb	05_1YCR_41.pdb
05_1YCR_91.pdb	05_1YCR_43.pdb
05_1YCR_91.pdb	05_1YCR_58.pdb
05_1YCR_91.pdb	05_1YCR_66.pdb
05_1YCR_91.pdb	05_1YCR_75.pdb
05_1YCR_91.pdb	05_1YCR_78.pdb
05_1YCR_91.pdb	05_1YCR_79.pdb
05_1YCR_91.pdb	05_1YCR_9.pdb
05_1YCR_91.pdb	05_1YCR_95.pdb
05_1YCR_91.pdb	05_1YCR_50.pdb
05_1YCR_91.pdb	05_1YCR_76.pdb
05_1YCR_91.pdb	05_1YCR_0.pdb
05_1YCR_91.pdb	05_1YCR_25.pdb
05_1YCR_91.pdb	05_1YCR_28.pdb
05_1YCR_91.pdb	05_1YCR_42.pdb
05_1YCR_91.pdb	05_1YCR_5.pdb
05_1YCR_91.pdb	05_1YCR_54.pdb
05_1YCR_91.pdb	05_1YCR_67.pdb
05_1YCR_91.pdb	05_1YCR_73.pdb
05_1YCR_91.pdb	05_1YCR_88.pdb
05_1YCR_91.pdb	05_1YCR_94.pdb
05_1YCR_91.pdb	05_1YCR_77.pdb
05_1YCR_91.pdb	05_1YCR_55.pdb
05_1YCR_91.pdb	05_1YCR_80.pdb
05_1YCR_91.pdb	05_1YCR_85.pdb
05_1YCR_91.pdb	05_1YCR_86.pdb
05_1YCR_91.pdb	05_1YCR_12.pdb
05_1YCR_91.pdb	05_1YCR_4.pdb
05_1YCR_91.pdb	05_1YCR_6.pdb
05_1YCR_91.pdb	05_1YCR_87.pdb
05_1YCR_91.pdb	05_1YCR_96.pdb
05_1YCR_91.pdb	05_1YCR_81.pdb
05_1YCR_91.pdb	05_1YCR_68.pdb
05_1YCR_91.pdb	05_1YCR_99.pdb
