19_7KUW_16.pdb	19_7KUW_16.pdb
19_7KUW_29.pdb	19_7KUW_29.pdb
19_7KUW_29.pdb	19_7KUW_17.pdb
19_7KUW_29.pdb	19_7KUW_47.pdb
19_7KUW_29.pdb	19_7KUW_63.pdb
19_7KUW_29.pdb	19_7KUW_57.pdb
19_7KUW_29.pdb	19_7KUW_23.pdb
19_7KUW_29.pdb	19_7KUW_25.pdb
19_7KUW_29.pdb	19_7KUW_48.pdb
19_7KUW_29.pdb	19_7KUW_62.pdb
19_7KUW_29.pdb	19_7KUW_64.pdb
19_7KUW_29.pdb	19_7KUW_66.pdb
19_7KUW_59.pdb	19_7KUW_59.pdb
19_7KUW_59.pdb	19_7KUW_95.pdb
19_7KUW_59.pdb	19_7KUW_98.pdb
19_7KUW_59.pdb	19_7KUW_36.pdb
19_7KUW_59.pdb	19_7KUW_46.pdb
19_7KUW_59.pdb	19_7KUW_11.pdb
19_7KUW_91.pdb	19_7KUW_91.pdb
19_7KUW_91.pdb	19_7KUW_61.pdb
19_7KUW_91.pdb	19_7KUW_9.pdb
19_7KUW_91.pdb	19_7KUW_30.pdb
19_7KUW_91.pdb	19_7KUW_39.pdb
19_7KUW_91.pdb	19_7KUW_73.pdb
19_7KUW_91.pdb	19_7KUW_76.pdb
19_7KUW_91.pdb	19_7KUW_69.pdb
19_7KUW_91.pdb	19_7KUW_72.pdb
19_7KUW_91.pdb	19_7KUW_78.pdb
19_7KUW_91.pdb	19_7KUW_22.pdb
19_7KUW_91.pdb	19_7KUW_4.pdb
19_7KUW_91.pdb	19_7KUW_68.pdb
19_7KUW_91.pdb	19_7KUW_88.pdb
19_7KUW_91.pdb	19_7KUW_94.pdb
19_7KUW_91.pdb	19_7KUW_83.pdb
assist_protein.pdb	assist_protein.pdb
